Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
93.92560525107727,0.007290520583414385,19.96206534690941,-179.3922700469888
99.41314251316741,0.006994261845746592,19.97620253027011,-179.6775378086496
105.2212852706634,0.008681286923139629,19.96446644230643,-179.9114530591335
111.3687646735833,0.006911100282312627,19.97432433893125,179.8114612551439
117.8754062261777,0.005877891883950871,19.96592846535001,179.6946735456412
124.7621937238045,0.007276148290515457,19.97300183846819,179.4303605590758
132.0513369252708,0.006777106859209328,19.9629917678635,179.1507733921504
139.7663431788814,0.005489573063871862,19.96615403370511,178.8864236321988
147.9320932331926,0.004496430943112814,19.9716244671143,178.683547478028
156.5749214769513,0.006114168517350315,19.96954917100964,178.4209547879958
165.7227008669993,0.006861905793361898,19.96464702291944,178.1915465811332
175.4049328180301,0.005626467954912248,19.96774966162811,177.9059614606924
185.6528423440887,0.005169336817184739,19.96609473862559,177.5953944663798
196.4994787586509,0.006147259943430969,19.96106609351189,177.3141831719718
207.9798222580294,0.00955364939404546,19.95233760720034,177.0267356946648
220.1308967318424,0.006176750430871989,19.9570495212855,176.7220346042977
232.9918891643553,0.004643060833287595,19.95347802268153,176.4976495251885
246.6042760117587,0.003757477731134745,19.95465606011534,176.1383943004559
261.0119569629524,0.005573823164369469,19.94618689482793,175.7815765735024
276.2613965152074,0.005269749385896937,19.94331417987401,175.4455406545943
292.4017738212866,0.00613420196830682,19.93681238315251,175.0974841239774
309.4851412912785,0.003392117448791178,19.93510451460157,174.747346854637
327.5665924606298,0.003920014352312907,19.92703584151404,174.3710249207469
346.7044396657504,0.004363764103060447,19.91920940824368,173.9776808517183
366.9604021001907,0.005422092096993978,19.91129970931204,173.5207819474469
388.3998048578666,0.005883444332986879,19.90231764588298,173.1032386854371
411.091789605249,0.005895377144101327,19.8893687934983,172.6582766643068
435.1095375619197,0.008030898639598454,19.88000785791657,172.1539369878426
460.5305055086172,0.009264054362257624,19.86999504337045,171.6446158410828
487.436675583883,0.005262878086876093,19.85749709714017,171.1306130777127
515.9148196748966,0.006264645145945141,19.84264366970404,170.5511705811088
546.0567792551683,0.007084302051695843,19.82446667203311,169.946199913054
577.9597615715405,0.009018445824486659,19.80570517053797,169.3282234416388
611.7266531357141,0.007664839024163385,19.79041456596283,168.7039180575794
647.4663515312955,0.00620616159867032,19.77118744562253,168.0026620098489
685.2941166064297,0.006212959749996525,19.73834783823319,167.3155854373855
725.3319421846229,0.005437969229863779,19.7132873680905,166.5637448578623
767.708949492507,0.005171225892364496,19.68280050229489,165.8196085202782
812.5618035733363,0.006368828406723006,19.65094383094764,164.9489670320155
860.0351540291614,0.006688161089704358,19.61310622410841,164.1204154661404
910.2821015130405,0.005426138195722244,19.57553834581088,163.1877874401132
963.4646914757404,0.007065955247441739,19.52708137734786,162.2987212893017
1019.754436759236,0.008587565567746053,19.4751414327194,161.2867092868995
1079.332870722362,0.00782052365205434,19.4188233343835,160.2446840242127
1142.392132682452,0.006052122932266522,19.35939889888015,159.1846953179023
1209.135587560979,0.007140676821049221,19.29325107258962,158.0638694146509
1279.778481731564,0.00694666804657464,19.21901607798795,156.9569427842199
1354.548637185448,0.008533938643357716,19.13551388250772,155.7126477772777
1433.687186253071,0.005877731876785391,19.04930950525311,154.4905609962483
1517.449349251264,0.01211969072891426,18.94462604318037,153.2092821269867
1606.105257563926,0.005692642039773735,18.84370510279228,151.8676034424437
1699.940824810587,0.01071816200411006,18.72253325121454,150.4437842437341
1799.258668912415,0.0116038230474077,18.59445979850199,149.0592454504807
1904.37908802925,0.01107999254512716,18.46009878019513,147.6106954433685
2015.641093515083,0.008330272645216227,18.30972170638856,146.1597478942741
2133.403503223242,0.01212074592383586,18.14862236816877,144.6283594483678
2258.046098687132,0.008368804567689934,17.9805449866495,143.1176344764957
2389.97084990848,0.0128453974544089,17.78802350695809,141.5620144155461
2529.60321170294,0.01378633007508742,17.59088809798924,139.9638839032685
2677.39349578379,0.0125033516244606,17.37851635642636,138.3632289516305
2833.818323008663,0.01529138914288233,17.15363289722504,136.7497575526838
2999.382160472731,0.01431088475406674,16.9156656701116,135.1488436604531
3174.618948405528,0.0169740297431537,16.66157328183133,133.5449948484096
3360.093822118018,0.01544061891702102,16.39640747658657,131.9788004748347
3556.404934553247,0.01686499373620658,16.11429501123787,130.3240897619636
3764.185385318225,0.01827292315512499,15.81995665470269,128.7827143914997
3984.105262418107,0.02424781068786266,15.51101474714087,127.2334933937014
4216.873803277285,0.0226769583859238,15.19403612280468,125.6856796692006
4463.241682016619,0.01886953964240386,14.86579381605758,124.200975509283
